Timestamp,Coder initials:,Article ID:,What date was the article received by the journal?,Does the article state whether or not the data are available?,"According to the statement, how are the data accessible?",What reasons are provided?,"For reasons selected above, please provide additional details here:",What does the link lead to?,What is the file format?,Were you able to successfully download and open the data file(s)?,Does all of the data needed for evaluation and reproduction of the research appear to be available after brief review?,Are the data understandable after brief review?,Are analysis scripts also available to download?,Is a license provided with the data?,Why could you not access the data file?
3/20/17 14:01,EC,zkxvx,5/28/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,".xls or .xlsx (Excel), MP4",Yes,"No, only some of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
5/11/17 15:46,MK,WoZyv,5/29/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.doc or .docx (Microsoft Word),Yes,"No, there are no data in the file",No,No,"No, a license is not provided",
3/23/17 17:49,GB,gYmNQ,6/1/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.doc or .docx (Microsoft Word),Yes,"No, there are no data in the file",No,No,"No, a license is not provided",
3/20/17 10:12,EC,whEAq,6/1/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.xls or .xlsx (Excel),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
5/11/17 15:30,MK,TMylQ,6/4/15,No - there is no data availability statement,,,,,,,,,,,
3/19/17 12:57,EC,uLdrX,6/6/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,".xls or .xlsx (Excel), .doc or .docx (Microsoft Word)",Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/15/17 9:07,MK,bPJii,6/9/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,".xls or .xlsx (Excel), .doc or .docx (Microsoft Word)",Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/25/17 14:39,GB,QjygY,6/10/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,".xls or .xlsx (Excel), .doc or .docx (Microsoft Word)",Yes,"Yes, all of the data appear to be available",Yes,No,"No, a license is not provided",
3/25/17 4:24,GB,TehBD,6/10/15,No - there is no data availability statement,,,,,,,,,,,
5/23/17 14:37,MK,LLiNE,6/11/15,No - there is no data availability statement,,,,,,,,,,,
3/27/17 14:38,MK,PQzyz,6/15/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.sav or .sps (SPSS),Yes,"Yes, all of the data appear to be available",Yes,No,"Yes, it is a CC-BY license",
3/9/17 16:37,EY,JaxCi,6/17/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.doc or .docx (Microsoft Word),Yes,"No, there are no data in the file",No,No,"No, a license is not provided",
3/30/17 15:42,EY,mULFk,6/17/15,No - there is no data availability statement,,,,,,,,,,,
4/7/17 17:58,GB,YgNmV,6/21/15,Yes - the statement says that the data (or some of the data) are available,Via a URL,,,Supplementary information hosted at Cognition,.csv,Yes,"Yes, all of the data appear to be available",Yes,No,"No, a license is not provided",
3/15/17 13:34,GB,Ywigr,6/21/15,No - there is no data availability statement,,,,,,,,,,,
